brand;name;id;salePriceU;priceU;sale;rating;feedbacks;supplier;supplierRating;link
Xiaomi;Электрический чайник Qcooker Retro Kettle, зеленый;49885092;2279.0;14283.0;84;4.8;4001;КаЧу.РФ;4.7;https://www.wildberries.ru/catalog/49885092/detail.aspx
Kitchen Home;Заварочный чайник стеклянный 1,5л с подставкой;106281294;649.0;2282.0;71;4.8;211706;Kitchen Home;4.7;https://www.wildberries.ru/catalog/106281294/detail.aspx
HOME ELEMENT;Чайник со свистком 2л, нерж. сталь;204206116;420.0;1890.0;77;3.5;405;Ваш комфорт - дело нашей техники;4.5;https://www.wildberries.ru/catalog/204206116/detail.aspx
IRIT;Чайник для плиты IRH-412;147313770;976.0;1662.0;41;4.5;1241;ТЕХНОСЕТЬ;4.6;https://www.wildberries.ru/catalog/147313770/detail.aspx
BEREKЕ;Чайник электрический;177429646;596.0;1700.0;64;4.6;1444;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/177429646/detail.aspx
BAUHAUS;Электрический чайник стеклянный с подсветкой;173483935;2684.0;5215.0;48;4.9;2442;Товары для дома;4.8;https://www.wildberries.ru/catalog/173483935/detail.aspx
Scarlett;Чайник SC-EK27G83;8509738;1698.0;3629.0;53;4.7;17157;Scarlett;4.6;https://www.wildberries.ru/catalog/8509738/detail.aspx
StarWind;Чайник электрический SKS4517, 2200Вт, черный;79600212;1340.0;2557.0;47;4.8;4910;Позитроника;4.7;https://www.wildberries.ru/catalog/79600212/detail.aspx
Timberk;Электрический чайник T-EK21S02;198352749;2334.0;6269.0;62;4.9;41;HD Trade;4.7;https://www.wildberries.ru/catalog/198352749/detail.aspx
Blackton;Чайник электрический Bt KT1800G 1.8л 1500Вт;88694649;1052.0;1927.0;45;4.6;8324;Официальный магазин BQ и Blackton;4.6;https://www.wildberries.ru/catalog/88694649/detail.aspx
Vessel;Чайник VS-8832 со свистком 4 л;199601014;881.0;1800.0;51;4.8;141;ООО Вессел;4.8;https://www.wildberries.ru/catalog/199601014/detail.aspx
Kamille;Чайник 3 л. из нержавеющей стали KM-0690N;67130195;3120.0;4870.0;35;4.8;4;Kamille Store - официальный магазин;4.6;https://www.wildberries.ru/catalog/67130195/detail.aspx
Xiaomi Deerma;Чайник DEM-SH30W;117548920;1041.0;4283.0;75;4.4;113;КаЧу.РФ;4.7;https://www.wildberries.ru/catalog/117548920/detail.aspx
ломзин;Чайник электрический для дома и кухни;162020141;1292.0;3400.0;62;4.4;640;Ломзин;4.5;https://www.wildberries.ru/catalog/162020141/detail.aspx
Hott;Чайник электрический из нержавеющей стали с подогревом;198199894;1131.0;2900.0;61;4.6;187;DiRetail;4.7;https://www.wildberries.ru/catalog/198199894/detail.aspx
My Beauty Home;Заварочный чайник 1,5л с подставкой;106281141;669.0;3421.0;80;4.7;132296;My Beauty Home;4.7;https://www.wildberries.ru/catalog/106281141/detail.aspx
Чайник для плиты;Чайник эмалированный для всех плит со свистком 2,5 литра;190550766;1245.0;6999.0;82;4.4;57;BESHINE;4.5;https://www.wildberries.ru/catalog/190550766/detail.aspx
LUMME;Чайник электрический стеклянный с подсветкой 2 л;162496540;1034.0;4280.0;75;4.4;915;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/162496540/detail.aspx
KONONO;Чайник электрический металлический 2,3 л 1800W;156275684;771.0;3500.0;77;4.2;3654;Konono Shop;4.7;https://www.wildberries.ru/catalog/156275684/detail.aspx
Gemlux;Чайник электрический металлический, электрочайник, 1.8 л;182767087;501.0;1293.0;61;4.7;44;Фирменный магазин GASTRORAG & GEMLUX;4.7;https://www.wildberries.ru/catalog/182767087/detail.aspx
